organization_name,name,type,description,amount,level,field_id,location,deadline,success_rate,requirements,benefits,contact_email,contact_phone,website_url,status,created_at,updated_at,study_levels,fields_supported,eligible_programs,application_url,processing_time_weeks,applicant_count,rating,review_count,eligibility_requirements,benefits_json,selection_process,partner_universities
International Education Council,Global Excellence Award 27,Other,This scholarship supports students pursuing higher education with strong academic performance (27).,80326,degree,10,Malaysia,2026-02-13,34.2,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship27@example.edu.my,+603-78190929,https://www.scholarship27.org,active,2026-01-01T14:57:56.636586,,{degree},{4},"{59,24,99}",https://apply.scholarship27.org,8,800,3.76,67,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 30}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""final_review"", ""document_screening""], ""duration_weeks"": 3, ""interview_required"": false}","[{""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}]"
Corporate Education Trust,STEM Advancement Fund 28,Other,This scholarship supports students pursuing higher education with strong academic performance (28).,79867,foundation,8,Penang,2026-03-13,32.6,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship28@example.edu.my,+603-76871360,https://www.scholarship28.org,active,2026-01-01T14:57:56.636628,,"{foundation,diploma}",{10},"{17,1,45,70}",https://apply.scholarship28.org,9,562,3.61,103,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 25}","{""tuition_coverage"": true, ""monthly_allowance"": false, ""amount"": 598, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""interview"", ""written_test"", ""final_review"", ""document_screening""], ""duration_weeks"": 8, ""interview_required"": true}","[{""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}]"
Yayasan Pendidikan Nasional,Global Excellence Award 29,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (29).,131442,foundation,4,Selangor,2026-09-30,53.25,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship29@example.edu.my,+603-75299055,https://www.scholarship29.org,active,2026-01-01T14:57:56.636681,,{foundation},{2},"{16,3,17}",https://apply.scholarship29.org,6,355,4.61,44,"{""cgpa"": "">=3.0"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 30}","{""tuition_coverage"": true, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""written_test"", ""interview""], ""duration_weeks"": 6, ""interview_required"": true}","[{""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}]"
Yayasan Pendidikan Nasional,Youth Development Scholarship 30,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (30).,146087,degree,9,Penang,2026-06-04,70.28,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship30@example.edu.my,+603-71689025,https://www.scholarship30.org,active,2026-01-01T14:57:56.636725,,"{diploma,degree}","{7,4}","{91,78,65,47}",https://apply.scholarship30.org,5,694,3.48,128,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 35}","{""tuition_coverage"": true, ""monthly_allowance"": false, ""amount"": null, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""written_test"", ""final_review"", ""document_screening"", ""interview""], ""duration_weeks"": 8, ""interview_required"": true}","[{""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}]"
Yayasan Pendidikan Nasional,Professional Studies Grant 31,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (31).,78345,degree,6,Kuala Lumpur,2026-05-01,60.8,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship31@example.edu.my,+603-79111742,https://www.scholarship31.org,active,2026-01-01T14:57:56.636774,,{degree},"{3,7}","{35,45}",https://apply.scholarship31.org,11,219,4.15,17,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 35}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""interview"", ""document_screening""], ""duration_weeks"": 7, ""interview_required"": true}","[{""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}]"
Corporate Education Trust,Global Excellence Award 32,Other,This scholarship supports students pursuing higher education with strong academic performance (32).,82543,diploma,7,Penang,2026-07-31,65.06,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship32@example.edu.my,+603-75635017,https://www.scholarship32.org,active,2026-01-01T14:57:56.636818,,"{diploma,degree}",{8},"{50,23,54,78,37}",https://apply.scholarship32.org,5,455,4.71,89,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 30}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""interview"", ""written_test"", ""document_screening""], ""duration_weeks"": 8, ""interview_required"": true}","[{""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}]"
Yayasan Pendidikan Nasional,STEM Advancement Fund 33,Other,This scholarship supports students pursuing higher education with strong academic performance (33).,78880,degree,8,Kuala Lumpur,2026-06-04,53.66,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship33@example.edu.my,+603-79907391,https://www.scholarship33.org,active,2026-01-01T14:57:56.636861,,{degree},"{2,11}","{98,71}",https://apply.scholarship33.org,9,326,3.38,168,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 35}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": null, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""document_screening"", ""written_test"", ""interview"", ""final_review""], ""duration_weeks"": 8, ""interview_required"": true}","[{""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}]"
Yayasan Pendidikan Nasional,Innovation Talent Award 34,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (34).,125540,diploma,11,Penang,2026-05-21,78.83,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship34@example.edu.my,+603-79801946,https://www.scholarship34.org,active,2026-01-01T14:57:56.636905,,"{diploma,degree}",{3},"{49,50,58,59}",https://apply.scholarship34.org,5,595,3.78,99,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 25}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": null, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""interview"", ""document_screening"", ""written_test""], ""duration_weeks"": 4, ""interview_required"": true}","[{""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}]"
Private Education Foundation,Innovation Talent Award 35,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (35).,93463,diploma,11,Malaysia,2026-04-05,58.7,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship35@example.edu.my,+603-78875173,https://www.scholarship35.org,active,2026-01-01T14:57:56.636949,,"{foundation,diploma}",{1},"{3,74,5}",https://apply.scholarship35.org,12,836,4.5,88,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 30}","{""tuition_coverage"": true, ""monthly_allowance"": true, ""amount"": 1952, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""document_screening"", ""interview""], ""duration_weeks"": 6, ""interview_required"": true}","[{""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}]"
Yayasan Pendidikan Nasional,National Education Grant 36,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (36).,120598,foundation,9,Penang,2026-07-05,68.22,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship36@example.edu.my,+603-74786401,https://www.scholarship36.org,active,2026-01-01T14:57:56.636991,,{foundation},{5},{90},https://apply.scholarship36.org,4,926,3.51,97,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 35}","{""tuition_coverage"": true, ""monthly_allowance"": false, ""amount"": 1446, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""final_review"", ""document_screening"", ""written_test"", ""interview""], ""duration_weeks"": 3, ""interview_required"": true}","[{""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Taylor's University"", ""country"": ""Malaysia""}]"
Yayasan Pendidikan Nasional,Future Leaders Scholarship 37,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (37).,46402,foundation,10,Malaysia,2026-04-29,50.43,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship37@example.edu.my,+603-78883823,https://www.scholarship37.org,active,2026-01-01T14:57:56.637033,,"{foundation,diploma}","{4,1,6}","{64,35}",https://apply.scholarship37.org,7,687,4.7,54,"{""cgpa"": "">=3.0"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 25}","{""tuition_coverage"": true, ""monthly_allowance"": true, ""amount"": 1330, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""written_test"", ""final_review"", ""document_screening""], ""duration_weeks"": 6, ""interview_required"": false}","[{""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}]"
Private Education Foundation,Global Excellence Award 38,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (38).,149889,foundation,5,Penang,2026-03-08,67.45,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship38@example.edu.my,+603-75842082,https://www.scholarship38.org,active,2026-01-01T14:57:56.637086,,{foundation},"{9,7,8}",{49},https://apply.scholarship38.org,11,771,3.31,48,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 35}","{""tuition_coverage"": true, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""interview"", ""written_test""], ""duration_weeks"": 3, ""interview_required"": true}","[{""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}]"
International Education Council,Merit-Based Academic Scholarship 39,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (39).,44197,diploma,2,Malaysia,2026-02-10,68.16,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship39@example.edu.my,+603-73939212,https://www.scholarship39.org,active,2026-01-01T14:57:56.637133,,"{foundation,diploma}",{11},"{76,23,52,31,3}",https://apply.scholarship39.org,5,73,3.69,21,"{""cgpa"": "">=3.0"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 35}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": 692, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""interview"", ""final_review"", ""document_screening"", ""written_test""], ""duration_weeks"": 4, ""interview_required"": true}","[{""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Taylor's University"", ""country"": ""Malaysia""}]"
Private Education Foundation,Global Excellence Award 40,Other,This scholarship supports students pursuing higher education with strong academic performance (40).,22210,degree,2,Penang,2026-10-11,31.83,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship40@example.edu.my,+603-72477398,https://www.scholarship40.org,active,2026-01-01T14:57:56.637176,,"{diploma,degree}",{5},{9},https://apply.scholarship40.org,11,755,3.83,88,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 30}","{""tuition_coverage"": true, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""written_test"", ""interview"", ""document_screening"", ""final_review""], ""duration_weeks"": 6, ""interview_required"": true}","[{""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}]"
International Education Council,Higher Education Support Scheme 41,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (41).,74250,diploma,7,Selangor,2026-10-13,43.35,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship41@example.edu.my,+603-73198037,https://www.scholarship41.org,active,2026-01-01T14:57:56.637217,,"{diploma,degree}","{6,1}",{80},https://apply.scholarship41.org,8,295,4.74,125,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 30}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": false, ""books_supplies"": true}","{""stages"": [""final_review"", ""written_test""], ""duration_weeks"": 5, ""interview_required"": false}","[{""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Taylor's University"", ""country"": ""Malaysia""}]"
Ministry of Higher Education Malaysia,Merit-Based Academic Scholarship 42,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (42).,120532,foundation,1,Kuala Lumpur,2026-04-01,55.44,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship42@example.edu.my,+603-75587308,https://www.scholarship42.org,active,2026-01-01T14:57:56.637259,,{foundation},{12},"{97,42,16,18}",https://apply.scholarship42.org,7,659,3.28,80,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 25}","{""tuition_coverage"": true, ""monthly_allowance"": true, ""amount"": 806, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""written_test"", ""interview"", ""final_review""], ""duration_weeks"": 2, ""interview_required"": true}","[{""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}]"
Corporate Education Trust,STEM Advancement Fund 43,Other,This scholarship supports students pursuing higher education with strong academic performance (43).,80639,foundation,9,Kuala Lumpur,2026-10-17,71.87,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship43@example.edu.my,+603-79214801,https://www.scholarship43.org,active,2026-01-01T14:57:56.637303,,{foundation},"{3,2}",{14},https://apply.scholarship43.org,5,668,3.02,72,"{""cgpa"": "">=3.0"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 25}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""interview"", ""written_test"", ""document_screening""], ""duration_weeks"": 8, ""interview_required"": true}","[{""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}]"
Private Education Foundation,National Education Grant 44,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (44).,124968,diploma,9,Selangor,2026-09-30,54.77,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship44@example.edu.my,+603-71621086,https://www.scholarship44.org,active,2026-01-01T14:57:56.637348,,"{foundation,diploma}","{2,10,12}",{71},https://apply.scholarship44.org,6,925,4.78,165,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 35}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": 1201, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""final_review"", ""document_screening"", ""written_test""], ""duration_weeks"": 7, ""interview_required"": false}","[{""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}]"
Ministry of Higher Education Malaysia,Global Excellence Award 45,Other,This scholarship supports students pursuing higher education with strong academic performance (45).,54466,degree,12,Johor,2026-06-15,62.49,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship45@example.edu.my,+603-76512415,https://www.scholarship45.org,active,2026-01-01T14:57:56.637391,,"{foundation,diploma,degree}",{3},"{27,2,52,77,78}",https://apply.scholarship45.org,12,408,4.41,192,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 25}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": 1248, ""accommodation"": false, ""books_supplies"": true}","{""stages"": [""written_test"", ""final_review"", ""interview""], ""duration_weeks"": 8, ""interview_required"": true}","[{""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}]"
Ministry of Higher Education Malaysia,Future Leaders Scholarship 46,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (46).,56200,diploma,12,Malaysia,2026-04-26,46.22,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship46@example.edu.my,+603-71941524,https://www.scholarship46.org,active,2026-01-01T14:57:56.637434,,"{diploma,degree}","{3,9}",{18},https://apply.scholarship46.org,4,541,4.42,155,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 30}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": null, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""written_test"", ""final_review"", ""document_screening"", ""interview""], ""duration_weeks"": 8, ""interview_required"": true}","[{""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}]"
Corporate Education Trust,Merit-Based Academic Scholarship 47,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (47).,148602,diploma,6,Kuala Lumpur,2026-04-14,52.98,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship47@example.edu.my,+603-71157662,https://www.scholarship47.org,active,2026-01-01T14:57:56.637482,,{diploma},"{5,1}","{81,77,52,95}",https://apply.scholarship47.org,6,872,4.75,120,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 35}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": null, ""accommodation"": false, ""books_supplies"": true}","{""stages"": [""written_test"", ""final_review""], ""duration_weeks"": 5, ""interview_required"": false}","[{""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}]"
Corporate Education Trust,Youth Development Scholarship 48,Other,This scholarship supports students pursuing higher education with strong academic performance (48).,58331,degree,4,Penang,2026-06-01,44.79,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship48@example.edu.my,+603-75953150,https://www.scholarship48.org,active,2026-01-01T14:57:56.637557,,{degree},{12},{44},https://apply.scholarship48.org,12,474,4.43,14,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 35}","{""tuition_coverage"": true, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""interview"", ""document_screening"", ""final_review"", ""written_test""], ""duration_weeks"": 2, ""interview_required"": true}","[{""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}]"
International Education Council,Merit-Based Academic Scholarship 49,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (49).,30397,foundation,1,Kuala Lumpur,2026-05-23,63.89,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship49@example.edu.my,+603-73294774,https://www.scholarship49.org,active,2026-01-01T14:57:56.637601,,{foundation},"{11,12}","{85,5,45}",https://apply.scholarship49.org,6,324,3.62,156,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 25}","{""tuition_coverage"": true, ""monthly_allowance"": false, ""amount"": null, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""document_screening"", ""interview"", ""written_test""], ""duration_weeks"": 5, ""interview_required"": true}","[{""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}]"
International Education Council,Global Excellence Award 50,Other,This scholarship supports students pursuing higher education with strong academic performance (50).,67675,foundation,11,Johor,2026-10-14,78.37,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship50@example.edu.my,+603-75951651,https://www.scholarship50.org,active,2026-01-01T14:57:56.637645,,"{foundation,diploma}","{3,10}",{68},https://apply.scholarship50.org,5,694,3.99,104,"{""cgpa"": "">=3.0"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 30}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": true, ""books_supplies"": false}","{""stages"": [""document_screening"", ""final_review"", ""written_test""], ""duration_weeks"": 6, ""interview_required"": false}","[{""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}]"
